# Port Risk Tags
# Format: port,protocol,service,risk_level,description
1,tcp,,high,
20,tcp,,medium,
21,tcp,,medium,
23,tcp,,high,
69,tcp,,medium,
111,tcp,,high,
135,tcp,,medium,
139,tcp,,medium,
445,tcp,,medium,
512,tcp,,high,
513,tcp,,high,
514,tcp,,high,
1080,tcp,,high,
1099,tcp,,high,
1337,tcp,,critical,
1433,tcp,,medium,
1434,tcp,,medium,
1521,tcp,,medium,
2049,tcp,,medium,
2222,tcp,,medium,
3128,tcp,,medium,
3306,tcp,,medium,
3389,tcp,,medium,
4444,tcp,,critical,
4445,tcp,,critical,
4899,tcp,,high,
5432,tcp,,medium,
5555,tcp,,high,
5900,tcp,,high,
5901,tcp,,high,
5985,tcp,,medium,
5986,tcp,,medium,
6379,tcp,,high,
6667,tcp,,high,
6668,tcp,,high,
6669,tcp,,high,
7547,tcp,,high,
8443,tcp,,low,
8080,tcp,,low,
8888,tcp,,medium,
9001,tcp,,high,
9050,tcp,,high,
9051,tcp,,high,
9090,tcp,,medium,
9200,tcp,,high,
9300,tcp,,high,
11211,tcp,,high,
27017,tcp,,high,
31337,tcp,,critical,
50050,tcp,,critical,
