# Rare/malicious JA3 fingerprints
# Format: ja3_hash,description
# These are known-bad or unusual TLS client fingerprints
e7d705a3286e19ea42f587b344ee6865,Metasploit Meterpreter
6734f37431670b3ab4292b8f60f29984,CobaltStrike Beacon
72a589da586844d7f0818ce684948eea,Mimikatz
a0e9f5d64349fb13191bc781f81f42e1,Empire PowerShell
3b5074b1b5d032e5620f69f9f700ff0e,Covenant C2
e35df3e00ca4ef31d42b34bebaa2f86e,PoshC2
b32309a26951912be7dba376398abc3b,Sliver C2
cd08e31494f9531f0ab4e3affc5f4588,TrickBot
5d65ea3fb1d4aa52c0e3a4cca5b1d312,Emotet Loader
19e29534fd49dd27d09234e639c4057e,Dridex
51c64c77e60f3980eea90869b68c58a8,QBot/QakBot
3e4a16204f90f75e69dcf3c7bac03186,BazarLoader
769a67be3c82e4098c54f284b12a1cc6,IcedID
4d7a28d6f2263ed61de88ca66eb2e982,Raccoon Stealer
